cdf_element	cdf_internal_name	raw_identifier_value
CandidateContest	Pennsylvania;General Assembly House of Representatives District 10	Representative in the General Assembly;10th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 110	Representative in the General Assembly;110th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 111	Representative in the General Assembly;111th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 112	Representative in the General Assembly;112th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 113	Representative in the General Assembly;113th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 114	Representative in the General Assembly;114th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 115	Representative in the General Assembly;115th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 116	Representative in the General Assembly;116th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 117	Representative in the General Assembly;117th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 118	Representative in the General Assembly;118th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 119	Representative in the General Assembly;119th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 11	Representative in the General Assembly;11th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 120	Representative in the General Assembly;120th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 121	Representative in the General Assembly;121st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 122	Representative in the General Assembly;122nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 123	Representative in the General Assembly;123rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 124	Representative in the General Assembly;124th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 125	Representative in the General Assembly;125th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 126	Representative in the General Assembly;126th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 127	Representative in the General Assembly;127th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 128	Representative in the General Assembly;128th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 129	Representative in the General Assembly;129th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 12	Representative in the General Assembly;12th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 130	Representative in the General Assembly;130th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 131	Representative in the General Assembly;131st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 132	Representative in the General Assembly;132nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 133	Representative in the General Assembly;133rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 134	Representative in the General Assembly;134th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 135	Representative in the General Assembly;135th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 136	Representative in the General Assembly;136th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 137	Representative in the General Assembly;137th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 138	Representative in the General Assembly;138th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 139	Representative in the General Assembly;139th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 13	Representative in the General Assembly;13th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 140	Representative in the General Assembly;140th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 141	Representative in the General Assembly;141st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 142	Representative in the General Assembly;142nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 143	Representative in the General Assembly;143rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 144	Representative in the General Assembly;144th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 145	Representative in the General Assembly;145th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 146	Representative in the General Assembly;146th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 147	Representative in the General Assembly;147th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 148	Representative in the General Assembly;148th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 149	Representative in the General Assembly;149th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 14	Representative in the General Assembly;14th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 150	Representative in the General Assembly;150th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 151	Representative in the General Assembly;151st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 152	Representative in the General Assembly;152nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 153	Representative in the General Assembly;153rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 154	Representative in the General Assembly;154th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 155	Representative in the General Assembly;155th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 156	Representative in the General Assembly;156th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 157	Representative in the General Assembly;157th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 158	Representative in the General Assembly;158th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 159	Representative in the General Assembly;159th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 15	Representative in the General Assembly;15th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 160	Representative in the General Assembly;160th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 161	Representative in the General Assembly;161st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 162	Representative in the General Assembly;162nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 163	Representative in the General Assembly;163rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 164	Representative in the General Assembly;164th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 165	Representative in the General Assembly;165th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 166	Representative in the General Assembly;166th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 167	Representative in the General Assembly;167th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 168	Representative in the General Assembly;168th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 169	Representative in the General Assembly;169th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 16	Representative in the General Assembly;16th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 170	Representative in the General Assembly;170th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 171	Representative in the General Assembly;171st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 172	Representative in the General Assembly;172nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 173	Representative in the General Assembly;173rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 174	Representative in the General Assembly;174th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 175	Representative in the General Assembly;175th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 176	Representative in the General Assembly;176th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 177	Representative in the General Assembly;177th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 178	Representative in the General Assembly;178th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 179	Representative in the General Assembly;179th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 17	Representative in the General Assembly;17th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 180	Representative in the General Assembly;180th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 181	Representative in the General Assembly;181st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 182	Representative in the General Assembly;182nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 183	Representative in the General Assembly;183rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 184	Representative in the General Assembly;184th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 185	Representative in the General Assembly;185th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 186	Representative in the General Assembly;186th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 187	Representative in the General Assembly;187th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 188	Representative in the General Assembly;188th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 189	Representative in the General Assembly;189th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 18	Representative in the General Assembly;18th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 190	Representative in the General Assembly;190th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 191	Representative in the General Assembly;191st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 192	Representative in the General Assembly;192nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 193	Representative in the General Assembly;193rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 194	Representative in the General Assembly;194th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 195	Representative in the General Assembly;195th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 196	Representative in the General Assembly;196th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 197	Representative in the General Assembly;197th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 198	Representative in the General Assembly;198th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 199	Representative in the General Assembly;199th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 19	Representative in the General Assembly;19th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 1	Representative in the General Assembly;1st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 200	Representative in the General Assembly;200th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 201	Representative in the General Assembly;201st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 202	Representative in the General Assembly;202nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 203	Representative in the General Assembly;203rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 20	Representative in the General Assembly;20th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 21	Representative in the General Assembly;21st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 22	Representative in the General Assembly;22nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 23	Representative in the General Assembly;23rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 24	Representative in the General Assembly;24th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 25	Representative in the General Assembly;25th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 26	Representative in the General Assembly;26th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 27	Representative in the General Assembly;27th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 28	Representative in the General Assembly;28th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 29	Representative in the General Assembly;29th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 2	Representative in the General Assembly;2nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 30	Representative in the General Assembly;30th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 31	Representative in the General Assembly;31st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 32	Representative in the General Assembly;32nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 33	Representative in the General Assembly;33rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 34	Representative in the General Assembly;34th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 35	Representative in the General Assembly;35th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 36	Representative in the General Assembly;36th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 37	Representative in the General Assembly;37th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 38	Representative in the General Assembly;38th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 39	Representative in the General Assembly;39th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 3	Representative in the General Assembly;3rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 40	Representative in the General Assembly;40th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 41	Representative in the General Assembly;41st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 42	Representative in the General Assembly;42nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 43	Representative in the General Assembly;43rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 44	Representative in the General Assembly;44th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 45	Representative in the General Assembly;45th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 46	Representative in the General Assembly;46th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 47	Representative in the General Assembly;47th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 48	Representative in the General Assembly;48th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 49	Representative in the General Assembly;49th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 4	Representative in the General Assembly;4th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 50	Representative in the General Assembly;50th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 51	Representative in the General Assembly;51st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 52	Representative in the General Assembly;52nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 53	Representative in the General Assembly;53rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 54	Representative in the General Assembly;54th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 55	Representative in the General Assembly;55th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 56	Representative in the General Assembly;56th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 57	Representative in the General Assembly;57th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 58	Representative in the General Assembly;58th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 59	Representative in the General Assembly;59th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 5	Representative in the General Assembly;5th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 60	Representative in the General Assembly;60th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 61	Representative in the General Assembly;61st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 62	Representative in the General Assembly;62nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 63	Representative in the General Assembly;63rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 64	Representative in the General Assembly;64th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 65	Representative in the General Assembly;65th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 66	Representative in the General Assembly;66th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 67	Representative in the General Assembly;67th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 68	Representative in the General Assembly;68th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 69	Representative in the General Assembly;69th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 6	Representative in the General Assembly;6th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 70	Representative in the General Assembly;70th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 71	Representative in the General Assembly;71st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 72	Representative in the General Assembly;72nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 73	Representative in the General Assembly;73rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 74	Representative in the General Assembly;74th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 75	Representative in the General Assembly;75th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 76	Representative in the General Assembly;76th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 77	Representative in the General Assembly;77th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 78	Representative in the General Assembly;78th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 79	Representative in the General Assembly;79th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 7	Representative in the General Assembly;7th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 80	Representative in the General Assembly;80th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 81	Representative in the General Assembly;81st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 82	Representative in the General Assembly;82nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 83	Representative in the General Assembly;83rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 84	Representative in the General Assembly;84th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 85	Representative in the General Assembly;85th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 86	Representative in the General Assembly;86th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 87	Representative in the General Assembly;87th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 88	Representative in the General Assembly;88th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 89	Representative in the General Assembly;89th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 8	Representative in the General Assembly;8th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 90	Representative in the General Assembly;90th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 91	Representative in the General Assembly;91st Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 92	Representative in the General Assembly;92nd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 93	Representative in the General Assembly;93rd Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 94	Representative in the General Assembly;94th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 95	Representative in the General Assembly;95th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 96	Representative in the General Assembly;96th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 97	Representative in the General Assembly;97th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 98	Representative in the General Assembly;98th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 99	Representative in the General Assembly;99th Legislative District
CandidateContest	Pennsylvania;General Assembly House of Representatives District 9	Representative in the General Assembly;9th Legislative District
CandidateContest	Pennsylvania;General Assembly Senate District 10	Senator in the General Assembly;10th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 12	Senator in the General Assembly;12th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 14	Senator in the General Assembly;14th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 16	Senator in the General Assembly;16th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 18	Senator in the General Assembly;18th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 20	Senator in the General Assembly;20th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 22	Senator in the General Assembly;22nd Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 24	Senator in the General Assembly;24th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 26	Senator in the General Assembly;26th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 28	Senator in the General Assembly;28th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 2	Senator in the General Assembly;2nd Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 30	Senator in the General Assembly;30th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 32	Senator in the General Assembly;32nd Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 34	Senator in the General Assembly;34th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 36	Senator in the General Assembly;36th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 38	Senator in the General Assembly;38th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 40	Senator in the General Assembly;40th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 42	Senator in the General Assembly;42nd Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 44	Senator in the General Assembly;44th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 46	Senator in the General Assembly;46th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 48	Senator in the General Assembly;48th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 4	Senator in the General Assembly;4th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 50	Senator in the General Assembly;50th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 6	Senator in the General Assembly;6th Senatorial District
CandidateContest	Pennsylvania;General Assembly Senate District 8	Senator in the General Assembly;8th Senatorial District
CandidateContest	Pennsylvania;US Congress;Senate	United States Senator;Statewide
ReportingUnit	Pennsylvania;ADAMS County	ADAMS
ReportingUnit	Pennsylvania;ALLEGHENY County	ALLEGHENY
ReportingUnit	Pennsylvania;ARMSTRONG County	ARMSTRONG
ReportingUnit	Pennsylvania;BEAVER County	BEAVER
ReportingUnit	Pennsylvania;BEDFORD County	BEDFORD
ReportingUnit	Pennsylvania;BERKS County	BERKS
ReportingUnit	Pennsylvania;BLAIR County	BLAIR
ReportingUnit	Pennsylvania;BRADFORD County	BRADFORD
ReportingUnit	Pennsylvania;BUCKS County	BUCKS
ReportingUnit	Pennsylvania;BUTLER County	BUTLER
ReportingUnit	Pennsylvania;CAMBRIA County	CAMBRIA
ReportingUnit	Pennsylvania;CAMERON County	CAMERON
ReportingUnit	Pennsylvania;CARBON County	CARBON
ReportingUnit	Pennsylvania;CENTRE County	CENTRE
ReportingUnit	Pennsylvania;CHESTER County	CHESTER
ReportingUnit	Pennsylvania;CLARION County	CLARION
ReportingUnit	Pennsylvania;CLEARFIELD County	CLEARFIELD
ReportingUnit	Pennsylvania;CLINTON County	CLINTON
ReportingUnit	Pennsylvania;COLUMBIA County	COLUMBIA
ReportingUnit	Pennsylvania;CRAWFORD County	CRAWFORD
ReportingUnit	Pennsylvania;CUMBERLAND County	CUMBERLAND
ReportingUnit	Pennsylvania;DAUPHIN County	DAUPHIN
ReportingUnit	Pennsylvania;DELAWARE County	DELAWARE
ReportingUnit	Pennsylvania;ELK County	ELK
ReportingUnit	Pennsylvania;ERIE County	ERIE
ReportingUnit	Pennsylvania;FAYETTE County	FAYETTE
ReportingUnit	Pennsylvania;FOREST County	FOREST
ReportingUnit	Pennsylvania;FRANKLIN County	FRANKLIN
ReportingUnit	Pennsylvania;FULTON County	FULTON
ReportingUnit	Pennsylvania;GREENE County	GREENE
ReportingUnit	Pennsylvania;HUNTINGDON County	HUNTINGDON
ReportingUnit	Pennsylvania;INDIANA County	INDIANA
ReportingUnit	Pennsylvania;JEFFERSON County	JEFFERSON
ReportingUnit	Pennsylvania;JUNIATA County	JUNIATA
ReportingUnit	Pennsylvania;LACKAWANNA County	LACKAWANNA
ReportingUnit	Pennsylvania;LANCASTER County	LANCASTER
ReportingUnit	Pennsylvania;LAWRENCE County	LAWRENCE
ReportingUnit	Pennsylvania;LEBANON County	LEBANON
ReportingUnit	Pennsylvania;LEHIGH County	LEHIGH
ReportingUnit	Pennsylvania;LUZERNE County	LUZERNE
ReportingUnit	Pennsylvania;LYCOMING County	LYCOMING
ReportingUnit	Pennsylvania;McKEAN County	McKEAN
ReportingUnit	Pennsylvania;MERCER County	MERCER
ReportingUnit	Pennsylvania;MIFFLIN County	MIFFLIN
ReportingUnit	Pennsylvania;MONROE County	MONROE
ReportingUnit	Pennsylvania;MONTGOMERY County	MONTGOMERY
ReportingUnit	Pennsylvania;MONTOUR County	MONTOUR
ReportingUnit	Pennsylvania;NORTHAMPTON County	NORTHAMPTON
ReportingUnit	Pennsylvania;NORTHUMBERLAND County	NORTHUMBERLAND
ReportingUnit	Pennsylvania;PERRY County	PERRY
ReportingUnit	Pennsylvania;PHILADELPHIA County	PHILADELPHIA
ReportingUnit	Pennsylvania;PIKE County	PIKE
ReportingUnit	Pennsylvania;POTTER County	POTTER
ReportingUnit	Pennsylvania;SCHUYLKILL County	SCHUYLKILL
ReportingUnit	Pennsylvania;SNYDER County	SNYDER
ReportingUnit	Pennsylvania;SOMERSET County	SOMERSET
