BallotName	Party
Rob Bonta	Democratic Party
Robert D. Chase	Democratic Party
Robert Rivas	Democratic Party
Rudy Salas	Democratic Party
Ruth Musser-Lopez	Democratic Party
S. Monique Lim—n	Democratic Party
Sabrina Cervantes	Democratic Party
Salud Carbajal	Democratic Party
Scott Peters	Democratic Party
Scott Rhinehart	Democratic Party
Sharon Quirk-Silva	Democratic Party
Shirley N. Weber	Democratic Party
Socorro Cisneros	Democratic Party
Sonia Aery	Democratic Party
Steve Fox	Democratic Party
Sunday Gover	Democratic Party
Susan A. Davis	Democratic Party
Susan Rubio	Democratic Party
Susan Talamantes Eggman	Democratic Party
Sydney K. Kamlager	Democratic Party
Tasha Boerner Horvath	Democratic Party
Tatiana Matta	Democratic Party
Ted W. Lieu	Democratic Party
Tepring Michelle Piquado	Democratic Party
Tim Grayson	Democratic Party
TJ Cox	Democratic Party
Todd Gloria	Democratic Party
Tom Daly	Democratic Party
Tom Hallinan	Democratic Party
Tom Umberg	Democratic Party
Tony Cardenas	Democratic Party
Tony Vazquez	Democratic Party
"Veronica ""Roni"" Jacobi"	Democratic Party
Wendy Carrillo	Democratic Party
Xavier Becerra	Democratic Party
Zoe Lofgren	Democratic Party
Kenneth Mejia	Green Party
Laura Wells	Green Party
Rodolfo Cortes Barragan	Green Party
Autumn Browne	Libertarian Party
Brandon Z. Nelson	Libertarian Party
Christopher Stare	Libertarian Party
"Honor ""Mimi"" Robson"	Libertarian Party
Justin Ryan Quigley	Libertarian Party
Alan S. Reynolds	No Party Preference
Anthony Mills	No Party Preference
Baron Bruno	No Party Preference
Eric Frame	No Party Preference
Ronald Paul Kabat	No Party Preference
Steve Poizner	No Party Preference
Marshall Tuck	Nonpartisan
Tony K. Thurmond	Nonpartisan
Aja Smith	Republican Party
Al L. Hernandez	Republican Party
Alex Glew	Republican Party
"Alexandria ""Alex"" Coronado"	Republican Party
Andreas Borgeas	Republican Party
Andrew Grant	Republican Party
Andy Vidak	Republican Party
Antonio M. Garcia	Republican Party
"Antonio Sabato, Jr."	Republican Party
Benito Benny Bernal	Republican Party
Bill Essayli	Republican Party
Bob Brunton	Republican Party
Brian Dahle	Republican Party
Brian Maienschein	Republican Party
Brian W. Jones	Republican Party
Burton Brink	Republican Party
Catharine Baker	Republican Party
Chad Mayes	Republican Party
Charlie Schaupp	Republican Party
Christian Leonel Valiente	Republican Party
Christina Laskowski	Republican Party
Christine Russell	Republican Party
Cristina Osme–a	Republican Party
Dale K. Mensing	Republican Party
Dana Rohrabacher	Republican Party
Dante Acosta	Republican Party
David G. Valadao	Republican Party
Devin G. Nunes	Republican Party
Devon Mathis	Republican Party
Diane L. Harkey	Republican Party
Doug La Malfa	Republican Party
Duncan Hunter	Republican Party
Elizabeth Heng	Republican Party
Frank A. Scotto	Republican Party
Frank Bigelow	Republican Party
G. Burt Lancaster	Republican Party
G. Rick Marshall	Republican Party
Greg Conlon	Republican Party
Heath Flora	Republican Party
Henry Gomez Nickel	Republican Party
James Gallagher	Republican Party
James Nielsen	Republican Party
Janet Nguyen	Republican Party
Jay Obernolte	Republican Party
Jeff Denham	Republican Party
Jeff Gonzalez	Republican Party
Jeff Stone	Republican Party
Jessica Martinez	Republican Party
Jim Patterson	Republican Party
Joel Anderson	Republican Party
John Briscoe	Republican Party
John Fitzgerald	Republican Party
John H. Cox	Republican Party
John Moore	Republican Party
Johnny J. Nalbandian	Republican Party
Jordan Cunningham	Republican Party
Joseph Grcar	Republican Party
Joshua M. Scott	Republican Party
Juan M. Hidalgo Jr.	Republican Party
Justin Fareed	Republican Party
Justin James Aguilera	Republican Party
Justin M. Clark	Republican Party
Justin Mendes	Republican Party
Keith Bogdon	Republican Party
Ken Calvert	Republican Party
Kenneth Weston Wright	Republican Party
Kevin Kiley	Republican Party
Kevin McCarthy	Republican Party
Kimberlin Brown Pelzer	Republican Party
Konstantinos Roditis	Republican Party
Lincoln Pickard	Republican Party
Lisa Remmer	Republican Party
Lisa Romero	Republican Party
Luis R. Vargas	Republican Party
Lupe Espinoza	Republican Party
Maggie J. Campbell	Republican Party
Marie Waldron	Republican Party
Mark Burns	Republican Party
Mark P. Meuser	Republican Party
Mark S. Reed	Republican Party
Marla Livengood	Republican Party
Matt Heath	Republican Party
Matthew Harper	Republican Party
Matthew Munson	Republican Party
Melinda Avey	Republican Party
Melissa Melendez	Republican Party
Michael L. Snyder	Republican Party
Mike Simpfenderfer	Republican Party
Mimi Walters	Republican Party
Mohammad-Ali Mazarei	Republican Party
Morgan Murtaugh	Republican Party
Neil G. Kitchens	Republican Party
Omar Navarro	Republican Party
Omar Qudrat	Republican Party
Patricia C. 'Pat' Bates	Republican Party
Paul Cook	Republican Party
Phillip Chen	Republican Party
Randy Voepel	Republican Party
Ricardo Antonio Benitez	Republican Party
Rita Topalian	Republican Party
Rob Poythress	Republican Party
Ron Cohen	Republican Party
Ron J. Bassilian	Republican Party
Ronda Baldwin-Kennedy	Republican Party
Roxanne Beckford Hoge	Republican Party
Rudy L. Peters Jr.	Republican Party
Rudy Melendez	Republican Party
Russell Rene Lambert	Republican Party
Ryan Downing	Republican Party
Scott Schmidt	Republican Party
Sean Flynn	Republican Party
Shannon Grove	Republican Party
Stephen Slauson	Republican Party
Steve Knight	Republican Party
Steven C Bailey	Republican Party
Steven S. Choi	Republican Party
Ted Gaines	Republican Party
Theresa Sanford	Republican Party
Tim Donnelly	Republican Party
Tom Lackey	Republican Party
Tom McClintock	Republican Party
Toni Holle	Republican Party
Tyler Diep	Republican Party
Vicki L. Nohrden	Republican Party
Victor G. San Vicente	Republican Party
Vince Fong	Republican Party
William (Bill) Brough	Republican Party
Young Kim	Republican Party
